S.No,Governorate,English,Arabic,
1,Capital Governorate,Kuwait City,????? ??????,
2,Capital Governorate,Dasm?n,?????,
3,Capital Governorate,Sharq,???,
4,Capital Governorate,Dasma,??????,
5,Capital Governorate,Da'iya,??????,
6,Capital Governorate,Saw?bir,???????,
7,Capital Governorate,Mirg?b,???????,
8,Capital Governorate,Jibla,????,
9,Capital Governorate,Salhiya,????????,
10,Capital Governorate,Bneid il-G?r,???? ?????,
11,Capital Governorate,Keifan,?????,
12,Capital Governorate,Mans?riya,?????????,
13,Capital Governorate,Abdullah as-Salim suburb,????? ??? ???? ??????,
14,Capital Governorate,Nuzha,??????,
15,Capital Governorate,Faiha',???????,
16,Capital Governorate,Shamiya,???????,
17,Capital Governorate,Rawda,??????,
18,Capital Governorate,Adiliya,??????,
19,Capital Governorate,Khaldiya,????????,
20,Capital Governorate,Qadsiya,????????,
21,Capital Governorate,Qurtuba,?????,
22,Capital Governorate,Surra,?????,
23,Capital Governorate,Yarm?k,???????,
24,Capital Governorate,Shuwaikh,??????,
25,Capital Governorate,Rai,????,
26,Capital Governorate,Ghirnata,??????,
27,Capital Governorate,Sulaibikhat,?????????,
28,Capital Governorate,Doha,??????,
29,Capital Governorate,Nahdha,??????,
30,Capital Governorate,Jabir al-Ahmad City,????? ???? ??????,
31,Capital Governorate,Qairaw?n,????????,
32,Hawalli Governorate,Hawally,????,
33,Hawalli Governorate,Rumaithiya,????????,
34,Hawalli Governorate,Jabriya,????????,
35,Hawalli Governorate,Salmiya,????????,
36,Hawalli Governorate,Mishrif,????,
37,Hawalli Governorate,Sha'ab,?????,
38,Hawalli Governorate,Bay?n,????,
39,Hawalli Governorate,Bi'di',?????,
40,Hawalli Governorate,Nigra,??????,
41,Hawalli Governorate,Salwa,????,
42,Hawalli Governorate,Maidan Hawalli,????? ????,
43,Hawalli Governorate,Mubarak aj-Jabir suburb,????? ????? ??????,
44,Hawalli Governorate,South Surra,???? ?????,
45,Hawalli Governorate,Hittin,????,
46,Mubarak al-Kabeer Governorate,Mubarak al-Kabeer,????? ??????,
47,Mubarak al-Kabeer Governorate,Ad?n,??????,
48,Mubarak al-Kabeer Governorate,Qurain,??????,
49,Mubarak al-Kabeer Governorate,Qus?r,??????,
50,Mubarak al-Kabeer Governorate,Sabah as-Salim suburb,????? ???? ??????,
51,Mubarak al-Kabeer Governorate,Mis?la,???????,
52,Mubarak al-Kabeer Governorate,Abu 'Fteira,??? ?????,
53,Mubarak al-Kabeer Governorate,Sabh?n,?????,
54,Mubarak al-Kabeer Governorate,Fint?s,???????,
55,Mubarak al-Kabeer Governorate,Funait?s,????????,
56,Ahmadi Governorate,Ahmadi,???????,
57,Ahmadi Governorate,Aqila,???????,
58,Ahmadi Governorate,Zuhar,?????,
59,Ahmadi Governorate,Miqwa',??????,
60,Ahmadi Governorate,Mahbula,????????,
61,Ahmadi Governorate,Rigga,?????,
62,Ahmadi Governorate,Hadiya,????,
63,Ahmadi Governorate,Abu Hulaifa,??? ?????,
64,Ahmadi Governorate,Sabahiya,????????,
65,Ahmadi Governorate,Mangaf,??????,
66,Ahmadi Governorate,Fahaheel,????????,
67,Ahmadi Governorate,Wafra,??????,
68,Ahmadi Governorate,Zoor,?????,
69,Ahmadi Governorate,Khairan,???????,
70,Ahmadi Governorate,Abdullah Port,????? ??? ????,
71,Ahmadi Governorate,Agricultural Wafra,?????? ????????,
72,Ahmadi Governorate,Bneidar,?????,
73,Ahmadi Governorate,Jilei'a,???????,
74,Ahmadi Governorate,Jabir al-Ali Suburb,????? ???? ?????,
75,Ahmadi Governorate,Fahd al-Ahmad Suburb,????? ??? ??????,
76,Ahmadi Governorate,Shu'aiba,???????,
77,Ahmadi Governorate,Sabah al-Ahmad City,????? ???? ??????,
78,Ahmadi Governorate,Nuwaiseeb,????????,
79,Ahmadi Governorate,Khairan City,????? ???????,
80,Ahmadi Governorate,Ali as-Salim suburb,????? ??? ???? ??????,
81,Ahmadi Governorate,Sabah al-Ahmad Nautical City,????? ???? ?????? ???????,

